OriginalPath,Station,Year,CopyName,Status,Reason
\\geodata\Ice\FIELDWORK\2021\GCN-S\NSE\NSE fieldbook notes and maintenance sheet 20 Jun 2021 B other side of maintenance sheet had no entries.pdf,NSE,2021,NSE_2021.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\GCN-S\NSE\NSE fieldbook notes and maintenance sheet 20 Jun 2021.pdf,NSE,2021,NSE_2021_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\GCN-S\SDL\SDL fieldbook notes and maintenance sheet 14 Jun 2021 fieldbook.pdf,SDL,2021,SDL_2021.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\GCN-S\SDL\SDL fieldbook notes and maintenance sheet 14 Jun 2021.pdf,SDL,2021,SDL_2021_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\GCN-S\SDM\SDM fieldbook notes and maintenance sheet 21 Jun 2021.pdf,SDM,2021,SDM_2021.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\QAS\QAS L M U Maintenance sheets 31 Aug - 2 Sep 2021.pdf,QAS_L,2021,QAS_L_2021.pdf,Copied,Combined L/M/U file; copied once per station named in filename
\\geodata\Ice\FIELDWORK\2021\QAS\QAS L M U Maintenance sheets 31 Aug - 2 Sep 2021.pdf,QAS_M,2021,QAS_M_2021.pdf,Copied,Combined L/M/U file; copied once per station named in filename
\\geodata\Ice\FIELDWORK\2021\QAS\QAS L M U Maintenance sheets 31 Aug - 2 Sep 2021.pdf,QAS_U,2021,QAS_U_2021.pdf,Copied,Combined L/M/U file; copied once per station named in filename
\\geodata\Ice\FIELDWORK\2021\TAS\MIT\MaintenanceSheet_MIT_2021.pdf,MIT,2021,MIT_2021.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\TAS\TAS_A\MaintenanceSheet_TasA2021.pdf,TAS_A,2021,TAS_A_2021.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\TAS\TAS_A\MaintenanceSheet_TasA2021_2.pdf,TAS_A,2021,TAS_A_2021_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2021\TAS\TAS_L\MaintenanceSheet_TASL_2021_2.pdf,TAS_L,2021,TAS_L_2021.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_E\NAE\Maintenance_sheet_NAE_May2022.pdf,NAE,2022,NAE_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_E\TUN\Maintenance_sheet_TUN_May2022.pdf,TUN,2022,TUN_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\CEN\Maintenance_sheet_CEN_June2022.pdf,CEN2,2022,CEN2_2022.pdf,Copied,Plain 'CEN'; CEN1 deactivated 2021 so defaulted to CEN2 per user guidance
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\CP1\Maintenance_sheet_CP1_June2022.pdf,CP1,2022,CP1_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\DY2\Maintenance_sheet_DY2_June2022.pdf,DY2,2022,DY2_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\HUM\Maintenance_sheet_HUM_June2022.pdf,HUM,2022,HUM_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\NEM\Maintenance_sheet_NEM_June2022.pdf,NEM,2022,NEM_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\NSE\Maintenance_sheet_NSE_June2022.pdf,NSE,2022,NSE_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\GC_NET_W\SDL\Maintenance_sheet_SDL_June2022.pdf,SDL,2022,SDL_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\JAR SWC\JAR maintenance sheet - 2022 08 03 - 2 pages.pdf,JAR,2022,JAR_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\JAR SWC\JAR_O maintenance sheet - 2022 08 03 - 2 pages.pdf,JAR_O,2022,JAR_O_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\JAR SWC\SWC maintenance sheet - 2022 08 02 - 2 pages.pdf,SWC,2022,SWC_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\JAR SWC\SWC_O maintenance sheet - 2022 08 02 - 2 pages.pdf,SWC_O,2022,SWC_O_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\KPC\KPC_L_new\Maintenance_sheet_KPC-L_New_AWS_May2022.pdf,KPC_Lv3,2022,KPC_Lv3_2022.pdf,Copied,"""New AWS"" assumed to be the v3 upgrade"
\\geodata\Ice\FIELDWORK\2022\KPC\KPC_L_old\Maintenance_sheet_KPC-L_Old_AWS_May2022.pdf,KPC_L,2022,KPC_L_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\KPC\KPC_U_new\Maintenance_sheet_KPC-U_New_AWS_May2022.pdf,KPC_Uv3,2022,KPC_Uv3_2022.pdf,Copied,"""New AWS"" assumed to be the v3 upgrade"
\\geodata\Ice\FIELDWORK\2022\KPC\KPC_U_old\Maintenance_sheet_KPC-U_Old_AWS_May2022.pdf,KPC_U,2022,KPC_U_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\QAS\QAS L M U B Stakes Apres maintenance sheets.pdf,QAS_L,2022,QAS_L_2022.pdf,Copied,Combined L/M/U file (B = stakes not a station); copied once per station named
\\geodata\Ice\FIELDWORK\2022\QAS\QAS L M U B Stakes Apres maintenance sheets.pdf,QAS_M,2022,QAS_M_2022.pdf,Copied,Combined L/M/U file (B = stakes not a station); copied once per station named
\\geodata\Ice\FIELDWORK\2022\QAS\QAS L M U B Stakes Apres maintenance sheets.pdf,QAS_U,2022,QAS_U_2022.pdf,Copied,Combined L/M/U file (B = stakes not a station); copied once per station named
\\geodata\Ice\FIELDWORK\2022\TAS\Data\TAS-A\Maintenance_sheet_TAS_A.pdf,TAS_A,2022,TAS_A_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2022\TAS\Data\TAS-L\Maintenance_sheet_TAS_L.pdf,TAS_L,2022,TAS_L_2022.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\CP1\Maintenance sheets\CP1_maint_sheet_p1.jpg,CP1,2023,CP1_2023.jpg,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\CP1\Maintenance sheets\CP1_maint_sheet_p2.jpg,CP1,2023,CP1_2023_2.jpg,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\EGP\Maintenance sheets\EGR_maint_sheet_p1.jpg,EGP,2023,EGP_2023.jpg,Copied,"""EGR"" misspelling of EGP"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\EGP\Maintenance sheets\EGR_maint_sheet_p2.jpg,EGP,2023,EGP_2023_2.jpg,Copied,"""EGR"" misspelling of EGP"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAE\Maintenance sheets\NASA-E_maint_sheet_old_p1.jpg,NAE,2023,NAE_2023.jpg,Copied,"""NASA-E"" old name for NAE; ""_old"" variant"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAE\Maintenance sheets\NASA-E_maint_sheet_old_p2.jpg,NAE,2023,NAE_2023_2.jpg,Copied,"""NASA-E"" old name for NAE; ""_old"" variant"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAE\Maintenance sheets\NASA-E_maint_sheet_p1.jpg,NAE,2023,NAE_2023_3.jpg,Copied,"""NASA-E"" old name for NAE"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAE\Maintenance sheets\NASA-E_maint_sheet_p2.jpg,NAE,2023,NAE_2023_4.jpg,Copied,"""NASA-E"" old name for NAE"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAU\Maintenance sheets\NASA-U_maint_sheet_old_p1.jpg,NAU,2023,NAU_2023.jpg,Copied,"""NASA-U"" old name for NAU; ""_old"" variant"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAU\Maintenance sheets\NASA-U_maint_sheet_old_p2.jpg,NAU,2023,NAU_2023_2.jpg,Copied,"""NASA-U"" old name for NAU; ""_old"" variant"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAU\Maintenance sheets\NASA-U_maint_sheet_p1.jpg,NAU,2023,NAU_2023_3.jpg,Copied,"""NASA-U"" old name for NAU"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\NAU\Maintenance sheets\NASA-U_maint_sheet_p2.jpg,NAU,2023,NAU_2023_4.jpg,Copied,"""NASA-U"" old name for NAU"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\TUN\Maintenance sheets\TUNU-N_maint_sheet_old_p1.jpg,TUN,2023,TUN_2023.jpg,Copied,"""TUNU-N"" old name for TUN; ""_old"" variant"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\TUN\Maintenance sheets\TUNU-N_maint_sheet_old_p2.jpg,TUN,2023,TUN_2023_2.jpg,Copied,"""TUNU-N"" old name for TUN; ""_old"" variant"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\TUN\Maintenance sheets\TUNU-N_maint_sheet_p1.jpg,TUN,2023,TUN_2023_3.jpg,Copied,"""TUNU-N"" old name for TUN"
\\geodata\Ice\FIELDWORK\2023\GC-Net Central Northeast\TUN\Maintenance sheets\TUNU-N_maint_sheet_p2.jpg,TUN,2023,TUN_2023_4.jpg,Copied,"""TUNU-N"" old name for TUN"
\\geodata\Ice\FIELDWORK\2023\GC-Net Northwest\CEN\Data\ApRES\CEN-ApRES-maintsheet.pdf,,2023,,Skip-Ambiguous,ApRES radar instrument sheet excluded per user guidance (out of scope)
\\geodata\Ice\FIELDWORK\2023\GC-Net South\DY2\Data\ApRES\Field_protocol\ApRES-DYE2-2023-maintsheet.pdf,,2023,,Skip-Ambiguous,ApRES radar instrument sheet excluded per user guidance (out of scope)
\\geodata\Ice\FIELDWORK\2023\GC-Net South\DY2\Maintenance sheets\Maintenance_sheet_DY2_CIRES-type_June2023.pdf,DY2,2023,DY2_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net South\DY2\Maintenance sheets\Maintenance_sheet_DY2_June2023.pdf,DY2,2023,DY2_2023_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net South\KAN-U\Data\ApRES\Field_protocol\ApRES-KAN-U-2023-maintsheet.pdf,,2023,,Skip-Ambiguous,ApRES radar instrument sheet excluded per user guidance (out of scope)
\\geodata\Ice\FIELDWORK\2023\GC-Net South\KAN-U\Maintenance sheets\Maintenance_sheet_KAN-U_June2023.pdf,KAN_U,2023,KAN_U_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net South\Maintenance_sheets_all_June2023.pdf,DY2,2023,DY2_2023_3.pdf,Copied,"Combined """"all GC-Net South"""" file; copied for each station documented that year (DY2/KAN_U/NSE/SDL/SDM)"
\\geodata\Ice\FIELDWORK\2023\GC-Net South\Maintenance_sheets_all_June2023.pdf,KAN_U,2023,KAN_U_2023_2.pdf,Copied,"Combined """"all GC-Net South"""" file; copied for each station documented that year (DY2/KAN_U/NSE/SDL/SDM)"
\\geodata\Ice\FIELDWORK\2023\GC-Net South\Maintenance_sheets_all_June2023.pdf,NSE,2023,NSE_2023.pdf,Copied,"Combined """"all GC-Net South"""" file; copied for each station documented that year (DY2/KAN_U/NSE/SDL/SDM)"
\\geodata\Ice\FIELDWORK\2023\GC-Net South\Maintenance_sheets_all_June2023.pdf,SDL,2023,SDL_2023.pdf,Copied,"Combined """"all GC-Net South"""" file; copied for each station documented that year (DY2/KAN_U/NSE/SDL/SDM)"
\\geodata\Ice\FIELDWORK\2023\GC-Net South\Maintenance_sheets_all_June2023.pdf,SDM,2023,SDM_2023.pdf,Copied,"Combined """"all GC-Net South"""" file; copied for each station documented that year (DY2/KAN_U/NSE/SDL/SDM)"
\\geodata\Ice\FIELDWORK\2023\GC-Net South\NSE\Maintenance sheets\Maintenance_sheet_NSE_June2023.pdf,NSE,2023,NSE_2023_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net South\SDL\Maintenance sheets\Maintenance_sheet_SDL_June2023.pdf,SDL,2023,SDL_2023_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\GC-Net South\SDM\Maintenance sheets\Maintenance_sheet_SDM_June2023.pdf,SDM,2023,SDM_2023_2.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\NUK\maintenance_sheets\NUK_B_maintenance_sheets.pdf,NUK_B,2023,NUK_B_2023.pdf,Copied,
\\geodata\Ice\FIELDWORK\2023\NUK\maintenance_sheets\NUK_K_maintenance_sheets.pdf,NUK_K,2023,NUK_K_2023.pdf,Copied,
